PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,04/03/26,05:27.1,1,1,"Corley, Brandt",1000107412,Left,ULM_WAR,"Carlson, Hunter",830762,Left,GEO_PAN,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.4077,-0.38918,3.842698,1874.435831,164.126026,11:30,6.15465,-2.64886,6.53124,-18.50316,15.08599,-3.97752,4.2549,0.55004,82.23725,-3.933016,3.123015,0.41713,,,,,,,,,,,,3.18709,8.33934,2.38323,50,6.11932,-8.64708,-131.12066,-1.38831,5.52426,28.8555,-17.71927,ULM_WAR,GEO_PAN,WarHawkField,D1,SBELT,20260403-WarHawkField-1,1391bbb0-2f90-11f1-ad72-9dc434b668e6,90.36148,,,8.17045,,,,,,,a6bccfad-f40e-40df-98e9-b18e5090ab47,4/3/2026,05:27.1,2026-04-03T14:05:27.1106560-05:00,2026-04-03T19:05:27.1106560Z,,v3,471389,471304,e4ec984334e74603939d14e3674751a8,"Aranda, Marcus",1000268715,Right,ULM_WAR,071e21e8-fe3f-444f-adee-f0cc51501858,53.96627,-131.99063,14.42775,6.15312,-0.85409,-8.85963,2.64644,-8.81364,2.76213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,04/03/26,05:42.9,1,2,"Corley, Brandt",1000107412,Left,ULM_WAR,"Carlson, Hunter",830762,Left,GEO_PAN,Undefined,1,Top,0,1,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.11107,-1.324458,3.693836,1859.203515,125.348899,10:15,5.93595,-2.54306,6.3618,-23.51824,11.52969,-14.50036,2.75444,-0.34727,80.57766,-5.781453,1.073798,0.426091,,,,,,,,,,,,8.66973,6.78599,2.28159,50,5.82896,-7.74825,-129.14126,-3.68999,14.46282,29.9515,-20.8537,ULM_WAR,GEO_PAN,WarHawkField,D1,SBELT,20260403-WarHawkField-1,1d0048b0-2f90-11f1-ad72-9dc434b668e6,88.46097,,,8.5334,,,,,,,a6bccfad-f40e-40df-98e9-b18e5090ab47,4/3/2026,05:42.9,2026-04-03T14:05:42.9216768-05:00,2026-04-03T19:05:42.9216768Z,,v3,471389,471304,e4ec984334e74603939d14e3674751a8,"Aranda, Marcus",1000268715,Right,ULM_WAR,99b5ec32-b928-48f9-a8da-1fd527343520,54.13625,-130.09704,14.97575,5.9361,-3.02453,-10.42685,2.5362,-8.20977,7.23141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,04/03/26,06:01.0,1,3,"Corley, Brandt",1000107412,Left,ULM_WAR,"Carlson, Hunter",830762,Left,GEO_PAN,Undefined,1,Top,0,1,1,Curveball,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,76.98232,0.917313,2.584787,2086.169212,307.445201,4:15,5.80684,-2.44545,6.13876,-52.36086,-5.38933,8.98788,2.29214,0.694,70.66386,-8.722616,4.204471,0.493275,,,,,,,,,,,,-3.85988,-2.56008,2.2438,50,5.85038,-5.36628,-111.77777,0.20196,-4.8507,21.40859,-35.39127,ULM_WAR,GEO_PAN,WarHawkField,D1,SBELT,20260403-WarHawkField-1,27d347b0-2f90-11f1-ad72-9dc434b668e6,76.41268,,,6.31846,,,,,,,a6bccfad-f40e-40df-98e9-b18e5090ab47,4/3/2026,06:01.0,2026-04-03T14:06:01.0185216-05:00,2026-04-03T19:06:01.0185216Z,,v3,471389,471304,e4ec984334e74603939d14e3674751a8,"Aranda, Marcus",1000268715,Right,ULM_WAR,ed0a9f23-60a1-4096-ab62-63df42af243f,54.36249,-112.61021,10.70429,5.81577,1.57809,-17.69564,2.44879,-5.17767,-2.42535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,04/03/26,06:19.0,1,4,"Corley, Brandt",1000107412,Left,ULM_WAR,"Carlson, Hunter",830762,Left,GEO_PAN,Undefined,1,Top,0,1,2,Slider,Curveball,InPlay,Undefined,GroundBall,Out,1,0,,76.23162,0.540849,1.354573,1921.616185,275.785733,3:15,5.84732,-2.58725,6.19702,-46.93231,0.76429,7.58103,2.43575,-0.70476,69.89238,-8.150217,2.724102,0.497067,66.47787,-7.683085,27.921737,,,,,17.83753,17.10834,28.763344,0.173422,-3.54689,0.66032,2.48152,50,5.86441,-2.87832,-110.77605,-0.307,-4.38009,20.93287,-31.35863,ULM_WAR,GEO_PAN,WarHawkField,D1,SBELT,20260403-WarHawkField-1,32877410-2f90-11f1-ad72-9dc434b668e6,75.82967,2.5646,,6.33924,,,,1.18473,2.5646,0.74234,a6bccfad-f40e-40df-98e9-b18e5090ab47,4/3/2026,06:19.0,2026-04-03T14:06:19.0075904-05:00,2026-04-03T19:06:19.0075904Z,GroundBall,v3,471389,471304,e4ec984334e74603939d14e3674751a8,"Aranda, Marcus",1000268715,Right,ULM_WAR,ff894c68-f2e0-4a15-a034-9123ab741bbc,54.30399,-111.5864,10.46643,5.8528,0.90694,-15.67931,2.58967,-2.70876,-2.19005,236.83163,1.18516,85.34386,-11.61934,,,,,,,2.56463,-13.03761,-10.09649,,,,,,,0.74229,45.25008,-0.20963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,04/03/26,06:55.1,2,1,"Corley, Brandt",1000107412,Left,ULM_WAR,"Maginnis, Wills",815491,Right,GEO_PAN,Undefined,1,Top,1,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.41596,-0.751155,3.0336,1908.796548,117.707449,10:00,5.87504,-2.74765,6.36158,-25.36686,8.31784,-13.76272,3.06883,-1.1001,82.49266,-5.519281,0.544207,0.417722,,,,,,,,,,,,7.99886,4.88799,2.53377,50,5.80883,-6.39348,-131.26307,-2.52219,13.91656,28.51334,-23.6698,ULM_WAR,GEO_PAN,WarHawkField,D1,SBELT,20260403-WarHawkField-1,47ff0f10-2f90-11f1-ad72-9dc434b668e6,90.23323,,,7.9233,,,,,,,a6bccfad-f40e-40df-98e9-b18e5090ab47,4/3/2026,06:55.1,2026-04-03T14:06:55.0758400-05:00,2026-04-03T19:06:55.0758400Z,,v3,471389,471304,e4ec984334e74603939d14e3674751a8,"Aranda, Marcus",1000268715,Right,ULM_WAR,c43d0a5e-8faf-46e3-8893-72cfc1ddf4c7,54.13775,-132.15883,14.25667,5.87639,-1.77859,-11.8349,2.74149,-6.83068,6.95828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,04/03/26,07:12.7,2,2,"Corley, Brandt",1000107412,Left,ULM_WAR,"Maginnis, Wills",815491,Right,GEO_PAN,Undefined,1,Top,1,1,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.22372,-1.806506,4.928067,2041.638866,125.810692,10:15,5.87676,-2.64136,6.68018,-23.86041,9.61308,-11.853,2.22923,0.88996,82.62739,-6.308911,2.779349,0.416411,,,,,,,,,,,,7.59666,5.89953,2.31544,50,5.74602,-10.81786,-130.73954,-4.83001,13.15769,27.38312,-21.95588,ULM_WAR,GEO_PAN,WarHawkField,D1,SBELT,20260403-WarHawkField-1,528574b0-2f90-11f1-ad72-9dc434b668e6,90.51749,,,7.59633,,,,,,,a6bccfad-f40e-40df-98e9-b18e5090ab47,4/3/2026,07:12.7,2026-04-03T14:07:12.7245824-05:00,2026-04-03T19:07:12.7245824Z,,v3,471389,471304,e4ec984334e74603939d14e3674751a8,"Aranda, Marcus",1000268715,Right,ULM_WAR,639eeea2-2da4-4875-85d4-c6259df90465,53.81987,-131.53717,13.69156,5.8774,-4.19047,-10.97794,2.63614,-11.20112,6.57884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,04/03/26,07:29.0,2,3,"Corley, Brandt",1000107412,Left,ULM_WAR,"Maginnis, Wills",815491,Right,GEO_PAN,Undefined,1,Top,1,1,1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.40429,-1.927639,4.213078,1916.046507,119.835746,10:00,5.80212,-2.69437,6.36179,-24.611,9.37493,-14.30457,1.97172,-0.00212,82.11092,-6.56004,1.630003,0.419586,,,,,,,,,,,,8.68414,5.82146,2.39505,50,5.6508,-9.05964,-130.94763,-5.18251,14.95457,29.77571,-22.14918,ULM_WAR,GEO_PAN,WarHawkField,D1,SBELT,20260403-WarHawkField-1,5c3f3b80-2f90-11f1-ad72-9dc434b668e6,89.83245,,,8.29336,,,,,,,a6bccfad-f40e-40df-98e9-b18e5090ab47,4/3/2026,07:29.0,2026-04-03T14:07:29.0307072-05:00,2026-04-03T19:07:29.0307072Z,,v3,471389,471304,e4ec984334e74603939d14e3674751a8,"Aranda, Marcus",1000268715,Right,ULM_WAR,cf1a24ef-1bd4-4de3-9f41-57d58d682494,54.13691,-131.88496,14.88785,5.80297,-4.48527,-11.07459,2.68765,-9.5304,7.47728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,04/03/26,07:47.0,2,4,"Corley, Brandt",1000107412,Left,ULM_WAR,"Maginnis, Wills",815491,Right,GEO_PAN,Undefined,1,Top,1,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.2027,-1.02819,4.371608,1982.654316,153.551819,11:00,6.07976,-2.32053,6.59686,-17.74194,14.84489,-6.90843,3.65639,1.11681,83.91511,-4.407905,3.121095,0.410859,,,,,,,,,,,,4.73264,8.36197,2.02406,50,6.00159,-9.84547,-132.34226,-2.86179,8.4605,26.13003,-17.22541,ULM_WAR,GEO_PAN,WarHawkField,D1,SBELT,20260403-WarHawkField-1,66fabae0-2f90-11f1-ad72-9dc434b668e6,91.74065,,,7.28758,,,,,,,a6bccfad-f40e-40df-98e9-b18e5090ab47,4/3/2026,07:47.0,2026-04-03T14:07:47.0274048-05:00,2026-04-03T19:07:47.0274048Z,,v3,471389,471304,e4ec984334e74603939d14e3674751a8,"Aranda, Marcus",1000268715,Right,ULM_WAR,6795da60-6425-43f8-9bb3-8224b48d170b,53.90285,-133.11062,13.06502,6.07829,-2.35528,-8.6127,2.31723,-10.09426,4.23025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,04/03/26,08:10.2,2,5,"Corley, Brandt",1000107412,Left,ULM_WAR,"Maginnis, Wills",815491,Right,GEO_PAN,Undefined,1,Top,1,2,2,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,90.78425,-1.326977,3.794278,2017.318216,122.168809,10:00,5.93142,-2.49559,6.26895,-25.20702,8.22634,-11.43068,2.60457,0.05499,83.25979,-6.039938,1.732937,0.416161,95.68119,-17.727939,34.282613,,,,,8.90342,8.90342,30.053441,0.059978,6.99268,4.9467,2.21996,50,5.82065,-8.27661,-131.72941,-3.86797,12.31189,27.45285,-23.46446,ULM_WAR,GEO_PAN,WarHawkField,D1,SBELT,20260403-WarHawkField-1,74c0bb20-2f90-11f1-ad72-9dc434b668e6,90.57178,2.56773,,7.52446,,,,1.06966,2.56773,-0.06545,a6bccfad-f40e-40df-98e9-b18e5090ab47,4/3/2026,08:10.2,2026-04-03T14:08:10.1950464-05:00,2026-04-03T19:08:10.1950464Z,GroundBall,v3,471389,471304,e4ec984334e74603939d14e3674751a8,"Aranda, Marcus",1000268715,Right,ULM_WAR,37cff2cf-a8cb-48b4-b060-2cf609a523cf,54.23209,-132.60846,13.72643,5.93247,-3.11663,-11.73223,2.49129,-8.67084,6.15595,,1.06765,110.65329,,,,,,,,2.5685,-42.81102,,,,,,,,-0.06682,75.43337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
10,04/03/26,08:49.0,3,1,"Corley, Brandt",1000107412,Left,ULM_WAR,"Silas, Sam",824572,Right,GEO_PAN,Undefined,1,Top,2,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.52046,-1.935532,3.940424,2059.921051,120.172439,10:00,5.97955,-2.5293,6.50405,-25.52305,8.08134,-11.96989,2.07127,0.09552,82.49795,-6.735009,1.772098,0.417224,,,,,,,,,,,,7.39619,5.15303,2.25812,50,5.83292,-8.55831,-131.21911,-5.22885,12.82342,29.21755,-23.2398,ULM_WAR,GEO_PAN,WarHawkField,D1,SBELT,20260403-WarHawkField-1,8be0aef0-2f90-11f1-ad72-9dc434b668e6,90.34099,,,8.02252,,,,,,,a6bccfad-f40e-40df-98e9-b18e5090ab47,4/3/2026,08:49.0,2026-04-03T14:08:48.9810432-05:00,2026-04-03T19:08:48.9810432Z,,v3,471389,471304,e4ec984334e74603939d14e3674751a8,"Aranda, Marcus",1000268715,Right,ULM_WAR,dad54c40-90d7-4b3f-a178-3488ccfb9afb,53.99487,-132.10562,14.60878,5.98087,-4.52371,-11.6199,2.5237,-8.9474,6.41171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
