PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,04/12/26,06:24.7,1,1,"Roberts, Cole",831239,Right,GEO_PAN,"Langley, Kyle",10281913,Left,JMU_DUK,Undefined,1,Top,0,0,0,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,83.51987,-1.5455,-1.476518,1997.950562,201.23445,12:45,5.85873,1.31104,6.16175,-20.26517,19.61316,7.09772,2.74136,0.53815,75.98426,-5.415747,-0.196417,0.454506,,,,,,,,,,,,-4.10555,10.99997,-1.20248,50,5.73092,2.85251,-121.2382,-3.80239,-6.07139,25.12622,-15.907,GEO_PAN,JMU_DUK,GeorgiaState,D1,SBELT,20260412-GeorgiaState-1,8e6af630-3689-11f1-8e90-dd7910f5321f,82.93053,,,7.5356,,,,,,,6366c6fc-f3dc-4b39-ad29-8a54f7512dfa,4/12/2026,06:24.7,2026-04-12T12:06:24.6840832-04:00,2026-04-12T16:06:24.6840832Z,,v3,471304,471327,10300,"Griffith, Cole",807519,Right,GEO_PAN,3d86ed04-51ec-419d-a183-431faaa98203,54.33905,-122.13414,12.56311,5.85639,-3.23518,-7.9535,-1.30805,3.069,-3.0357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,04/12/26,06:43.1,1,2,"Roberts, Cole",831239,Right,GEO_PAN,"Langley, Kyle",10281913,Left,JMU_DUK,Undefined,1,Top,0,0,1,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,75.68611,-0.001864,-1.458163,2296.069906,126.091018,10:15,5.61365,1.75205,5.80919,-42.83097,6.12118,-6.28744,2.04266,-0.12827,69.582,-7.892154,-2.5854,0.503567,,,,,,,,,,,,2.82103,3.55575,-1.6285,50,5.5878,3.02102,-109.93329,-1.28383,3.44568,19.8346,-27.83092,GEO_PAN,JMU_DUK,GeorgiaState,D1,SBELT,20260412-GeorgiaState-1,996e05e0-3689-11f1-8e90-dd7910f5321f,74.8509,,,6.10411,,,,,,,6366c6fc-f3dc-4b39-ad29-8a54f7512dfa,4/12/2026,06:43.1,2026-04-12T12:06:43.1441920-04:00,2026-04-12T16:06:43.1441920Z,,v3,471304,471327,10300,"Griffith, Cole",807519,Right,GEO_PAN,a1519575-5b46-4168-b1fa-93a40ebcee5c,54.6941,-110.77698,9.9173,5.61723,-0.10001,-13.91546,-1.75388,2.87446,1.72284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,04/12/26,07:03.2,1,3,"Roberts, Cole",831239,Right,GEO_PAN,"Langley, Kyle",10281913,Left,JMU_DUK,Undefined,1,Top,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.42342,0.164334,-0.372124,2148.56111,204.218777,12:45,5.9761,1.2582,5.90625,-18.12477,18.52214,7.79426,4.61825,1.56228,79.48275,-3.296187,1.026872,0.435703,,,,,,,,,,,,-4.08177,9.78012,-1.23268,50,5.97894,0.49723,-126.95247,-0.14886,-6.6332,27.02037,-16.28061,GEO_PAN,JMU_DUK,GeorgiaState,D1,SBELT,20260412-GeorgiaState-1,a55ad950-3689-11f1-8e90-dd7910f5321f,86.50957,,,7.94067,,,,,,,6366c6fc-f3dc-4b39-ad29-8a54f7512dfa,4/12/2026,07:03.2,2026-04-12T12:07:03.2275456-04:00,2026-04-12T16:07:03.2275456Z,,v3,471304,471327,10300,"Griffith, Cole",807519,Right,GEO_PAN,4d1aa11e-e618-4ab7-a0aa-e2d888d55ce6,54.59418,-127.92655,13.51019,5.97372,0.43805,-8.1403,-1.25491,0.73636,-3.3166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,04/12/26,07:19.8,1,4,"Roberts, Cole",831239,Right,GEO_PAN,"Langley, Kyle",10281913,Left,JMU_DUK,Undefined,1,Top,0,1,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,76.22422,-0.203967,0.102737,2274.774474,110.679314,9:45,5.62643,1.82277,5.8047,-43.45487,4.45677,-8.07894,1.81549,1.24508,70.56156,-8.181527,-1.347201,0.498186,,,,,,,,,,,,4.16914,2.74772,-1.82627,50,5.58353,0.09052,-110.82908,-1.72013,5.21409,18.78697,-28.73766,GEO_PAN,JMU_DUK,GeorgiaState,D1,SBELT,20260412-GeorgiaState-1,af457420-3689-11f1-8e90-dd7910f5321f,75.65932,,,5.66267,,,,,,,6366c6fc-f3dc-4b39-ad29-8a54f7512dfa,4/12/2026,07:19.8,2026-04-12T12:07:19.7729792-04:00,2026-04-12T16:07:19.7729792Z,,v3,471304,471327,10300,"Griffith, Cole",807519,Right,GEO_PAN,65cc1a74-7609-4871-ace2-98d614e601f5,54.69921,-111.62282,9.39348,5.63056,-0.50599,-14.36883,-1.82544,-0.12977,2.60704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,04/12/26,07:41.8,1,5,"Roberts, Cole",831239,Right,GEO_PAN,"Langley, Kyle",10281913,Left,JMU_DUK,Undefined,1,Top,0,2,2,ChangeUp,Four-Seam,InPlay,Undefined,Popup,Out,1,0,,85.2967,-1.085664,-1.852777,1968.565409,199.515171,12:45,5.82285,1.20261,6.04807,-21.1706,16.94186,5.58272,3.05286,-0.0481,78.13937,-5.086664,-0.848418,0.444329,85.59642,53.240283,-2.397388,5086.349411,107.88537,125.51199,-21.46488,212.82016,206.51087,-15.580967,5.764912,-3.39693,9.39678,-1.0613,50,5.72681,3.79066,-123.90358,-2.95875,-5.28782,24.44486,-17.54658,GEO_PAN,JMU_DUK,GeorgiaState,D1,SBELT,20260412-GeorgiaState-1,bc5f2ed0-3689-11f1-8e90-dd7910f5321f,84.82997,128.65037,,7.15734,,,,1.76496,3.10357,0.05515,6366c6fc-f3dc-4b39-ad29-8a54f7512dfa,4/12/2026,07:41.8,2026-04-12T12:07:41.8047488-04:00,2026-04-12T16:07:41.8047488Z,FlyBall,v3,471304,471327,10300,"Griffith, Cole",807519,Right,GEO_PAN,f5c4a8bd-7adb-4e1a-95fe-973317659ac0,54.45455,-124.77932,12.22243,5.82155,-2.33014,-8.77329,-1.2005,3.9801,-2.64391,161.501901,1.76611,75.02018,-21.35401,5.81893,-1.01516,0.06996,0.01043,-0.00232,0.00012,3.09773,100.67633,-24.31203,2.19777,-0.28434,0.00022,0.0134,-0.00278,0.00017,0.05567,-3.1667,-5.99952,2.22158,-0.43549,0.0197,0.01048,-0.00206,0.00011,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
6,04/12/26,08:21.3,2,1,"Roberts, Cole",831239,Right,GEO_PAN,"Thompson, Clay",1000134813,Right,JMU_DUK,Undefined,1,Top,1,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.22588,-1.083411,-2.351576,2167.545513,211.129542,1:00,5.96137,1.17051,,-17.54977,19.76883,11.18749,3.48637,-0.09402,79.30209,-4.420768,-0.356764,0.439677,108.93276,19.856247,-34.37004,2545.198635,87.48913,35.95005,-66.67561,345.39415,297.89064,-44.836049,3.465257,-6.37866,10.7093,-0.97639,50,5.8574,4.72026,-126.5098,-2.91705,-10.28948,26.93015,-14.89883,GEO_PAN,JMU_DUK,GeorgiaState,D1,SBELT,20260412-GeorgiaState-1,d3e166e0-3689-11f1-8e90-dd7910f5321f,85.7275,45.85016,,7.92379,,,,1.72715,3.43321,0.16448,6366c6fc-f3dc-4b39-ad29-8a54f7512dfa,4/12/2026,08:21.3,2026-04-12T12:08:21.2506624-04:00,2026-04-12T16:08:21.2506624Z,LineDrive,v3,471304,471327,10300,"Griffith, Cole",807519,Right,GEO_PAN,9676c650-ed77-499e-82b7-1f0fd67c443a,54.90366,-127.54937,13.46508,5.9589,-2.34192,-7.44942,-1.16628,5.11746,-5.14474,,1.72698,124.03897,-29.72719,7.47994,-1.74841,0.41047,-0.08776,0.01228,-0.00075,3.43335,54.26226,-18.95844,1.19325,-0.1196,-0.01178,0.01118,-0.00213,0.00015,0.16433,-84.82732,4.80312,0.15706,-0.26594,0.10842,-0.02991,0.00484,-0.00034,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
7,04/12/26,09:13.2,2,2,"Roberts, Cole",831239,Right,GEO_PAN,"Thompson, Clay",1000134813,Right,JMU_DUK,Undefined,1,Top,1,0,1,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,75.60967,1.083193,-0.508898,2286.034802,149.679471,11:00,5.67979,1.66123,5.69342,-41.964,7.31449,-3.36555,3.1925,0.90646,69.24964,-6.664112,-1.110855,0.505243,87.30515,70.611139,-50.92645,3653.676794,,,,,39.89882,,,1.57378,3.85764,-1.61627,50,5.74458,1.09744,-109.79522,0.80472,1.91747,19.78227,-27.47396,GEO_PAN,JMU_DUK,GeorgiaState,D1,SBELT,20260412-GeorgiaState-1,f2dfaac0-3689-11f1-8e90-dd7910f5321f,74.60259,117.89255,,6.36003,,,,1.73977,3.00221,-0.8049,6366c6fc-f3dc-4b39-ad29-8a54f7512dfa,4/12/2026,09:13.2,2026-04-12T12:09:13.1748864-04:00,2026-04-12T16:09:13.1748864Z,,v3,471304,471327,10300,"Griffith, Cole",807519,Right,GEO_PAN,469b2ac6-2fc1-4ede-9dbd-14411a5c301e,54.80904,-110.65829,9.89114,5.68332,2.00338,-13.73698,-1.66232,1.01379,0.95873,167.90284,1.73973,26.80143,-16.15059,5.8393,-2.61556,1.91152,-1.02556,0.26347,-0.01938,3.00222,120.78367,-29.75751,3.52386,-0.31742,-0.32195,0.27627,-0.09627,0.01233,-0.80489,-33.0028,7.2173,-1.98105,0.67306,-0.4187,0.20855,-0.0485,0.00242,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
8,04/12/26,09:46.6,2,3,"Roberts, Cole",831239,Right,GEO_PAN,"Thompson, Clay",1000134813,Right,JMU_DUK,Undefined,1,Top,1,0,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,80.61201,-1.698692,-3.251861,2350.428326,187.841967,12:15,5.63976,1.67981,5.80422,-30.4297,13.20123,1.61091,1.52103,-1.21368,73.40538,-7.359714,-2.963788,0.47541,,,,,,,,,,,,-1.8202,7.69544,-1.41341,50,5.48193,6.57337,-116.77409,-4.38811,-2.48986,23.90636,-21.64736,GEO_PAN,JMU_DUK,GeorgiaState,D1,SBELT,20260412-GeorgiaState-1,06bd1dc0-368a-11f1-8e90-dd7910f5321f,79.28399,,,7.20664,,,,,,,6366c6fc-f3dc-4b39-ad29-8a54f7512dfa,4/12/2026,09:46.6,2026-04-12T12:09:46.5590000-04:00,2026-04-12T16:09:46.5590000Z,,v3,471304,471327,10300,"Griffith, Cole",807519,Right,GEO_PAN,627e8b1f-716d-406f-b595-def329c870da,54.69728,-117.7318,11.95318,5.64035,-3.5209,-10.82368,-1.67875,6.67312,-1.24493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.61019,,,1.155542,,,,-2.28472,5.94603,3.04378,69.70319,6.01589,55.11052,-2.20965,68.41219,-5.33604,6.02195,17.51531,-15.1483,3.0611,47.44305,-2.07425,High,High,High,,,High,Medium,High
9,04/12/26,10:22.4,3,1,"Roberts, Cole",831239,Right,GEO_PAN,"Moody, Reece",1000361026,Right,JMU_DUK,Undefined,1,Top,2,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,77.38004,0.558858,-1.92235,2386.728784,191.818294,12:30,5.58494,1.8457,5.68447,-38.24073,8.97615,1.55677,2.91948,0.18281,70.67494,-6.5155,-1.644138,0.494561,,,,,,,,,,,,-1.34488,4.86603,-1.68471,50,5.60821,3.70925,-112.2706,-0.0835,-1.70996,21.05596,-25.98714,GEO_PAN,JMU_DUK,GeorgiaState,D1,SBELT,20260412-GeorgiaState-1,1c2b9100-368a-11f1-8e90-dd7910f5321f,76.2139,,,6.7051,,,,,,,6366c6fc-f3dc-4b39-ad29-8a54f7512dfa,4/12/2026,10:22.4,2026-04-12T12:10:22.4374784-04:00,2026-04-12T16:10:22.4374784Z,,v3,471304,471327,10300,"Griffith, Cole",807519,Right,GEO_PAN,dcdcb356-faad-4b68-a5d5-4fa9a6f0d825,54.8163,-113.17028,10.52798,5.58805,1.02687,-12.99357,-1.84476,3.78231,-0.85498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,04/12/26,10:42.1,3,2,"Roberts, Cole",831239,Right,GEO_PAN,"Moody, Reece",1000361026,Right,JMU_DUK,Undefined,1,Top,2,0,1,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,77.25272,-0.077685,-0.963986,2327.862861,151.222208,11:00,5.65925,1.81088,5.55597,-41.33963,6.15583,-2.54445,2.14168,0.698,70.83604,-7.669922,-1.418244,0.496018,99.23529,17.338255,-47.610774,3284.04602,70.78286,20.02744,-84.20059,206.98288,181.38579,-53.098299,1.893461,1.01925,3.55894,-1.72575,50,5.62514,1.98259,-112.16289,-1.46344,1.29437,20.87929,-27.65445,GEO_PAN,JMU_DUK,GeorgiaState,D1,SBELT,20260412-GeorgiaState-1,27e2d580-368a-11f1-8e90-dd7910f5321f,75.99006,20.02767,,6.41668,,,,2.40479,2.12854,-0.59294,6366c6fc-f3dc-4b39-ad29-8a54f7512dfa,4/12/2026,10:42.1,2026-04-12T12:10:42.1448192-04:00,2026-04-12T16:10:42.1448192Z,LineDrive,v3,471304,471327,10300,"Griffith, Cole",807519,Right,GEO_PAN,98974132-7b1f-40cd-a321-1133ef92f0f0,54.94688,-113.08001,10.43965,5.66275,-0.24872,-13.82722,-1.81159,1.92573,0.64719,,2.40478,93.66106,-21.05543,3.96036,-0.32749,-0.41344,0.28721,-0.08657,0.01046,2.12854,43.37307,-29.44785,4.2981,-0.57774,-0.2235,0.20064,-0.06319,0.00774,-0.59295,-102.61322,8.71072,-0.57101,0.61389,-0.61729,0.34445,-0.09945,0.01182,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
