PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-19,13:04:57.96,1,1,"Appelman, Jaxon",831304,Right,COA_CHA,"Maginnis, Wills",815491,Right,GEO_PAN,Undefined,1,Top,0,0,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.94385,-0.561622,-3.974351,2265.709758,281.229002,3:15,5.21972,1.46321,6.13027,-37.50506,-1.95374,16.19745,1.57391,-0.86649,80.51541,-7.508063,-1.057941,0.42914,,,,,,,,,,,,-9.57091,-0.40673,-1.16702,50,5.15782,8.2714,-128.85913,-2.57767,-15.86575,30.29658,-32.84831,COA_CHA,GEO_PAN,SpringsBrooksStadium,D1,SBELT,20260419-SpringsBrooksStadium-1,e5526950-3c11-11f1-aa26-81393601a220,87.83243,,,8.42844,,,,,,,7a4f6626-c83a-4271-913a-2f863f53c567,2026-04-19,17:04:57.96,2026-04-19T13:04:57.9605504-04:00,2026-04-19T17:04:57.9605504Z,,v3,4104,471304,0457b847d69f4fdeaab880d80d4a323d,"Estep, Brice",831307,Right,COA_CHA,a2048fb1-4ec9-4768-b4d3-e372cd0d596f,54.3681,-129.88208,15.14829,5.22614,-1.46857,-16.42415,-1.45534,8.80709,-7.93287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-19,13:05:12.03,1,2,"Appelman, Jaxon",831304,Right,COA_CHA,"Maginnis, Wills",815491,Right,GEO_PAN,Undefined,1,Top,0,0,1,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.84032,-1.355393,-4.07372,2346.078319,271.264091,3:00,5.25405,1.40593,6.1193,-33.92903,0.7702,18.70304,1.17014,-0.80806,81.74558,-7.638657,-0.706631,0.423966,,,,,,,,,,,,-10.84902,1.18563,-1.10278,50,5.13259,8.48681,-130.18537,-4.26709,-18.45835,29.53073,-30.15684,COA_CHA,GEO_PAN,SpringsBrooksStadium,D1,SBELT,20260419-SpringsBrooksStadium-1,edb0e5e0-3c11-11f1-aa26-81393601a220,88.90435,,,8.09474,,,,,,,7a4f6626-c83a-4271-913a-2f863f53c567,2026-04-19,17:05:12.03,2026-04-19T13:05:12.0378368-04:00,2026-04-19T17:05:12.0378368Z,,v3,4104,471304,0457b847d69f4fdeaab880d80d4a323d,"Estep, Brice",831307,Right,COA_CHA,e8ad64ec-dd4e-4f3d-a8d7-bac1f069fd53,54.38015,-131.17518,14.76536,5.25867,-3.25629,-15.07842,-1.39761,9.1055,-9.22918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-19,13:05:28.08,1,3,"Appelman, Jaxon",831304,Right,COA_CHA,"Maginnis, Wills",815491,Right,GEO_PAN,Undefined,1,Top,0,1,1,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.65538,-0.287372,-2.86151,2261.550264,267.927715,3:00,5.08501,1.65579,6.03953,-33.54478,2.08288,17.53993,2.0232,0.46575,79.74614,-6.558707,0.295099,0.429601,,,,,,,,,,,,-10.14721,1.54815,-1.44212,50,5.04469,5.75103,-129.81486,-1.80279,-16.75585,35.35256,-29.61763,COA_CHA,GEO_PAN,SpringsBrooksStadium,D1,SBELT,20260419-SpringsBrooksStadium-1,f7406860-3c11-11f1-aa26-81393601a220,87.73826,,,9.90924,,,,,,,7a4f6626-c83a-4271-913a-2f863f53c567,2026-04-19,17:05:28.08,2026-04-19T13:05:28.0888320-04:00,2026-04-19T17:05:28.0888320Z,,v3,4104,471304,0457b847d69f4fdeaab880d80d4a323d,"Estep, Brice",831307,Right,COA_CHA,ce55d9b1-3238-4a31-bd17-12dd7ef3557c,54.45792,-131.02327,17.67628,5.08901,-0.79041,-14.80882,-1.64849,6.32377,-8.37792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-19,13:05:51.39,1,4,"Appelman, Jaxon",831304,Right,COA_CHA,"Maginnis, Wills",815491,Right,GEO_PAN,Undefined,1,Top,0,1,2,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.01162,0.275736,-4.212077,2331.371271,256.188497,2:30,5.21902,1.46762,6.08897,-29.23986,5.76044,18.05111,3.03813,-0.93151,80.63777,-5.209293,-0.970013,0.425802,,,,,,,,,,,,-10.61575,3.28311,-1.15113,50,5.2253,8.8062,-130.2455,-0.3572,-17.87452,32.4042,-26.64603,COA_CHA,GEO_PAN,SpringsBrooksStadium,D1,SBELT,20260419-SpringsBrooksStadium-1,0525d780-3c12-11f1-aa26-81393601a220,88.52115,,,9.37386,,,,,,,7a4f6626-c83a-4271-913a-2f863f53c567,2026-04-19,17:05:51.39,2026-04-19T13:05:51.3907200-04:00,2026-04-19T17:05:51.3907200Z,,v3,4104,471304,0457b847d69f4fdeaab880d80d4a323d,"Estep, Brice",831307,Right,COA_CHA,5392b2f0-2c83-43b7-8f5a-a06f917d8207,54.40701,-131.33736,16.2021,5.22221,0.54063,-13.32302,-1.45801,9.40848,-8.93726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-19,13:06:08.21,1,5,"Appelman, Jaxon",831304,Right,COA_CHA,"Maginnis, Wills",815491,Right,GEO_PAN,Undefined,1,Top,0,2,2,Slider,Slider,InPlay,Undefined,GroundBall,Out,1,0,,84.9673,0.600821,-2.048418,2798.115456,84.662033,8:45,5.34595,1.46972,5.4903,-38.87415,0.57846,-7.33709,2.66888,-1.0588,77.64114,-6.515908,-3.354499,0.452074,70.08176,-20.151132,6.763095,,,,,9.13582,9.10006,11.846271,0.073975,3.12933,0.44854,-1.28508,50,5.37208,4.71456,-123.28927,-0.1006,4.79281,25.64239,-31.48707,COA_CHA,GEO_PAN,SpringsBrooksStadium,D1,SBELT,20260419-SpringsBrooksStadium-1,0f2b4d50-3c12-11f1-aa26-81393601a220,83.37674,2.62917,,7.32616,,,,1.82638,2.62917,1.03171,7a4f6626-c83a-4271-913a-2f863f53c567,2026-04-19,17:06:08.21,2026-04-19T13:06:08.2118144-04:00,2026-04-19T17:06:08.2118144Z,GroundBall,v3,4104,471304,0457b847d69f4fdeaab880d80d4a323d,"Estep, Brice",831307,Right,COA_CHA,9ec603f5-6761-4963-987e-8b385ba3a43f,55.00968,-124.32684,12.8212,5.35037,1.17347,-15.74353,-1.47192,4.52063,2.39641,180,1.82214,96.1797,,,,,,,,2.63073,-35.54144,,,,,,,,1.03121,11.40591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2026-04-19,13:06:41.03,2,1,"Appelman, Jaxon",831304,Right,COA_CHA,"Beverley, John",831242,Right,GEO_PAN,Undefined,1,Top,1,0,0,Sinker,Sinker,InPlay,Undefined,LineDrive,Single,0,0,,89.625,-0.784439,-3.249636,2358.209522,252.242481,2:30,5.29925,1.46471,6.22322,-28.90372,6.00977,14.81052,2.16559,-0.30275,80.83253,-6.205554,-0.577565,0.425273,99.02808,10.763677,-17.053671,883.915212,104.71956,14.38734,-33.67169,228.40335,226.68383,-19.612294,1.987307,-8.78347,3.71851,-1.22885,50,5.22621,6.77805,-129.93338,-2.71827,-14.76257,31.5066,-25.92424,COA_CHA,GEO_PAN,SpringsBrooksStadium,D1,SBELT,20260419-SpringsBrooksStadium-1,22ba7940-3c12-11f1-aa26-81393601a220,88.63113,14.48985,,8.79247,,,,2.66107,2.30068,0.29543,7a4f6626-c83a-4271-913a-2f863f53c567,2026-04-19,17:06:41.03,2026-04-19T13:06:41.0338816-04:00,2026-04-19T17:06:41.0338816Z,LineDrive,v3,4104,471304,0457b847d69f4fdeaab880d80d4a323d,"Estep, Brice",831307,Right,COA_CHA,2237670e-e548-4507-b4f6-db9089ea0c07,54.27556,-130.96602,15.7533,5.30138,-1.86859,-12.96212,-1.45893,7.26191,-7.38128,130.75956,2.66107,136.41171,-20.0496,3.76171,-0.80443,0.16224,-0.0308,0.00456,-0.00035,2.30068,27.12498,-16.01691,1.16955,-0.20051,0.04209,-0.00642,0.00088,-8E-05,0.29543,-41.84503,1.42781,0.21066,-0.11652,0.03509,-0.00798,0.00124,-0.0001,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2026-04-19,13:07:17.84,3,1,"Appelman, Jaxon",831304,Right,COA_CHA,"Silas, Sam",824572,Right,GEO_PAN,Undefined,1,Top,1,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.37444,-0.155798,-3.671874,2581.190654,73.198473,8:30,5.38628,1.50625,5.79446,-41.75109,-1.33311,-8.445,1.7618,-2.6177,76.83799,-7.78625,-5.180196,0.457571,,,,,,,,,,,,3.28563,-0.24555,-1.19881,50,5.34853,8.09648,-120.92784,-1.75633,4.86614,23.54359,-32.53773,COA_CHA,GEO_PAN,SpringsBrooksStadium,D1,SBELT,20260419-SpringsBrooksStadium-1,38ae4920-3c12-11f1-aa26-81393601a220,82.37502,,,6.53645,,,,,,,7a4f6626-c83a-4271-913a-2f863f53c567,2026-04-19,17:07:17.84,2026-04-19T13:07:17.8446336-04:00,2026-04-19T17:07:17.8446336Z,,v3,4104,471304,0457b847d69f4fdeaab880d80d4a323d,"Estep, Brice",831307,Right,COA_CHA,ec7d0dd2-abae-48d3-a73d-ced97681a9ff,54.70545,-121.8405,11.77179,5.39216,-0.49501,-16.26887,-1.50901,7.90784,2.43307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-19,13:08:15.02,3,2,"Appelman, Jaxon",831304,Right,COA_CHA,"Silas, Sam",824572,Right,GEO_PAN,Undefined,1,Top,1,1,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,85.12235,-0.928691,-3.075304,2618.148867,93.241821,9:00,5.43589,1.4299,5.45501,-38.05053,1.69662,-5.69465,1.39432,-1.92624,77.40501,-7.884339,-4.087833,0.453758,,,,,,,,,,,,1.89366,1.57221,-1.15451,50,5.32803,6.86694,-123.26173,-3.37904,2.87706,27.35364,-29.78538,COA_CHA,GEO_PAN,SpringsBrooksStadium,D1,SBELT,20260419-SpringsBrooksStadium-1,5ac47b60-3c12-11f1-aa26-81393601a220,83.06726,,,7.71734,,,,,,,7a4f6626-c83a-4271-913a-2f863f53c567,2026-04-19,17:08:15.02,2026-04-19T13:08:15.0263808-04:00,2026-04-19T17:08:15.0263808Z,,v3,4104,471304,0457b847d69f4fdeaab880d80d4a323d,"Estep, Brice",831307,Right,COA_CHA,245a40b4-b058-480b-b318-d19f292b602b,55.04209,-124.37561,13.67682,5.44094,-2.16614,-14.89269,-1.43176,6.74978,1.43853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-19,13:08:30.70,3,3,"Appelman, Jaxon",831304,Right,COA_CHA,"Silas, Sam",824572,Right,GEO_PAN,Undefined,1,Top,1,2,0,Sinker,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,89.7799,-1.333721,-3.691613,2310.157943,243.646697,2:00,5.18847,1.65963,6.37272,-25.01773,9.40709,16.5778,1.87374,-0.36022,81.40232,-6.052828,-0.69454,0.422287,,,,,,,,,,,,-9.71564,5.67118,-1.39987,50,5.08051,7.72019,-130.15546,-3.80553,-16.50483,29.78657,-22.53991,COA_CHA,GEO_PAN,SpringsBrooksStadium,D1,SBELT,20260419-SpringsBrooksStadium-1,641c2500-3c12-11f1-aa26-81393601a220,89.25798,,,8.37757,,,,,,,7a4f6626-c83a-4271-913a-2f863f53c567,2026-04-19,17:08:30.70,2026-04-19T13:08:30.7056640-04:00,2026-04-19T17:08:30.7056640Z,,v3,4104,471304,0457b847d69f4fdeaab880d80d4a323d,"Estep, Brice",831307,Right,COA_CHA,bf1d5575-d9e6-452d-9ccf-b78e34c0bf35,54.12503,-131.09609,14.89329,5.18945,-3.09374,-11.26996,-1.6519,8.2414,-8.25241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-19,13:08:50.55,3,4,"Appelman, Jaxon",831304,Right,COA_CHA,"Silas, Sam",824572,Right,GEO_PAN,Undefined,1,Top,1,2,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,85.12089,-0.699268,-3.412683,2741.160965,95.910329,9:15,5.33158,1.29489,5.5757,-37.58148,2.32847,-8.28536,1.54549,-2.58678,76.80631,-7.604829,-4.887175,0.454686,,,,,,,,,,,,3.00441,1.88374,-0.99544,50,5.24721,7.69956,-123.13125,-2.83963,4.51697,29.1706,-29.34195,COA_CHA,GEO_PAN,SpringsBrooksStadium,D1,SBELT,20260419-SpringsBrooksStadium-1,6ff2ff70-3c12-11f1-aa26-81393601a220,82.89767,,,8.31458,,,,,,,7a4f6626-c83a-4271-913a-2f863f53c567,2026-04-19,17:08:50.55,2026-04-19T13:08:50.5554432-04:00,2026-04-19T17:08:50.5554432Z,,v3,4104,471304,0457b847d69f4fdeaab880d80d4a323d,"Estep, Brice",831307,Right,COA_CHA,24fb23bf-0470-4abe-a061-3abadf7e0d3f,54.91958,-124.29127,14.5853,5.33693,-1.6728,-14.67097,-1.29805,7.51993,2.25849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
