PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-05-02,14:34:07.67,1,1,"Herrmann, Andrew",801892,Left,LOU_CAJ,"Maginnis, Wills",815491,Right,GEO_PAN,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,85.59336,-1.552722,1.103994,2144.179012,155.236041,11:15,6.43354,-0.90557,5.51173,-17.56568,21.34509,-9.23815,3.51711,-0.64291,77.77807,-4.895329,-0.54218,0.448959,,,,,,,,,,,,4.97158,11.60477,0.81562,50,6.28669,-1.99466,-124.13136,-3.87074,7.71337,26.15375,-14.16926,LOU_CAJ,GEO_PAN,LouisianaLafayette,D1,SBELT,20260502-LouisianaLafayette-1,e335e920-465d-11f1-9124-633af0b2e406,83.95527,,,7.81529,,,,,,,d5222a79-48af-40d0-a895-d142c768fdcb,2026-05-02,19:34:07.67,2026-05-02T14:34:07.6761600-05:00,2026-05-02T19:34:07.6761600Z,,v3,5075,471304,,"Brown, Colt",1000134926,Right,LOU_CAJ,b7c9324a-1ae2-4a02-b0ff-a5f8d6fa557c,54.98543,-125.17736,13.07687,6.43016,-3.30405,-7.08463,0.90157,-2.30315,3.85669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-05-02,14:34:25.43,1,2,"Herrmann, Andrew",801892,Left,LOU_CAJ,"Maginnis, Wills",815491,Right,GEO_PAN,Undefined,1,Top,0,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,84.7938,-2.449241,1.357154,2197.857557,156.199557,11:15,6.41989,-0.83882,5.41527,-19.3247,20.42344,-8.4206,2.51298,-0.2689,77.33424,-6.086588,-0.140773,0.453764,73.59072,70.907961,56.973649,4416.720302,26.86656,92.30936,106.6685,144.11321,66.88068,76.988734,5.235608,4.66288,11.40359,0.7244,50,6.18911,-2.56068,-122.93417,-5.85156,7.10851,25.23935,-14.7894,LOU_CAJ,GEO_PAN,LouisianaLafayette,D1,SBELT,20260502-LouisianaLafayette-1,edc54f70-465d-11f1-9124-633af0b2e406,83.06622,118.57117,,7.45956,,,,3.501,1.9538,0.2287,d5222a79-48af-40d0-a895-d142c768fdcb,2026-05-02,19:34:25.43,2026-05-02T14:34:25.4311424-05:00,2026-05-02T19:34:25.4311424Z,Popup,v3,5075,471304,,"Brown, Colt",1000134926,Right,LOU_CAJ,e870834f-dc21-4c9c-882e-d744751a11fa,55.08407,-123.97357,12.61967,6.41755,-5.2425,-7.3947,0.83588,-2.85342,3.55426,202.930802,3.5027,19.16885,-8.18969,1.62945,0.3462,-0.33553,0.09703,-0.01291,0.00066,1.96383,101.77094,-26.63283,1.5948,0.81928,-0.54469,0.14021,-0.01742,0.00086,0.23801,29.44157,1.72009,-1.55771,0.61103,-0.13379,0.00965,0.001,-0.00014,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
3,2026-05-02,14:34:56.04,1,3,"Herrmann, Andrew",801892,Left,LOU_CAJ,"Maginnis, Wills",815491,Right,GEO_PAN,Undefined,1,Top,0,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.90846,-3.512401,0.792519,2270.279247,157.904041,11:15,6.37879,-0.94432,5.50857,-15.36501,22.40548,-8.57638,1.8092,-0.91782,79.24324,-6.436941,-0.735922,0.442331,,,,,,,,,,,,4.54662,12.69052,0.88107,50,6.06198,-1.36899,-125.89496,-8.15887,7.27206,26.37557,-11.87638,LOU_CAJ,GEO_PAN,LouisianaLafayette,D1,SBELT,20260502-LouisianaLafayette-1,000454b0-465e-11f1-8e77-917a05731ea6,85.21315,,,7.66522,,,,,,,d5222a79-48af-40d0-a895-d142c768fdcb,2026-05-02,19:34:56.04,2026-05-02T14:34:56.0477696-05:00,2026-05-02T19:34:56.0477696Z,,v3,5075,471304,,"Brown, Colt",1000134926,Right,LOU_CAJ,2f9d5386-67fd-4834-916c-522578f5043d,54.98917,-126.93591,13.18779,6.37473,-7.69015,-5.93819,0.94076,-1.65599,3.63603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-05-02,14:35:12.50,1,4,"Herrmann, Andrew",801892,Left,LOU_CAJ,"Maginnis, Wills",815491,Right,GEO_PAN,Undefined,1,Top,0,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,85.54167,-3.789689,1.535964,2244.455121,166.431623,11:30,6.44874,-0.92,5.4522,-16.0567,23.34486,-5.28796,1.55644,0.0776,77.465,-6.855511,0.594947,0.451781,,,,,,,,,,,,3.14453,13.35737,0.78823,50,6.10339,-3.09151,-123.73754,-8.64389,4.82054,27.27611,-11.69722,LOU_CAJ,GEO_PAN,LouisianaLafayette,D1,SBELT,20260502-LouisianaLafayette-1,09d525f0-465e-11f1-8e77-917a05731ea6,83.43078,,,8.07668,,,,,,,d5222a79-48af-40d0-a895-d142c768fdcb,2026-05-02,19:35:12.50,2026-05-02T14:35:12.5038080-05:00,2026-05-02T19:35:12.5038080Z,,v3,5075,471304,,"Brown, Colt",1000134926,Right,LOU_CAJ,122fbfd3-4f39-48b2-a593-212033ef19d4,55.04507,-124.8447,13.63805,6.44462,-8.16909,-5.84861,0.91769,-3.28718,2.41027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-05-02,14:35:29.71,1,5,"Herrmann, Andrew",801892,Left,LOU_CAJ,"Maginnis, Wills",815491,Right,GEO_PAN,Undefined,1,Top,0,3,1,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Single,0,0,,84.78065,-1.48613,1.625992,2213.718512,164.877065,11:30,6.40788,-1.07105,5.45041,-18.7158,21.22198,-5.35481,3.45605,0.00537,76.72755,-5.043895,0.673281,0.454845,80.63826,74.291279,-17.591906,,,,,85.24433,37.63866,2.960742,6.047551,3.22221,11.58501,0.93141,50,6.26445,-3.26415,-122.88344,-3.74244,4.87349,26.81815,-14.65212,LOU_CAJ,GEO_PAN,LouisianaLafayette,D1,SBELT,20260502-LouisianaLafayette-1,14172f90-465e-11f1-8e77-917a05731ea6,82.86877,153.65947,,8.0531,,,,3.45614,3.63317,0.01924,d5222a79-48af-40d0-a895-d142c768fdcb,2026-05-02,19:35:29.71,2026-05-02T14:35:29.7117696-05:00,2026-05-02T19:35:29.7117696Z,Popup,v3,5075,471304,,"Brown, Colt",1000134926,Right,LOU_CAJ,9dd745cb-f20e-4392-b633-ad7862cfbd77,55.04799,-123.98022,13.40908,6.40525,-3.14322,-7.32606,1.06898,-3.46346,2.43675,,3.45548,30.5202,-9.82337,2.80485,-0.59227,0.11599,-0.01851,0.00176,-7E-05,3.63082,113.91012,-27.76012,3.76827,-0.9759,0.25051,-0.04917,0.00542,-0.00024,0.02001,-9.68263,6.77085,-2.16084,0.51874,-0.11639,0.02049,-0.00209,9E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
6,2026-05-02,14:37:16.92,2,1,"Herrmann, Andrew",801892,Left,LOU_CAJ,"Beverley, John",831242,Right,GEO_PAN,Undefined,1,Top,0,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,1,0,,77.89203,-2.82271,2.080487,2046.004003,135.406262,10:30,6.43724,-1.0081,5.44867,-41.57447,5.58264,-3.96638,0.32612,0.61004,71.68377,-10.378171,1.372868,0.494248,,,,,,,,,,,,2.63351,4.05418,0.82722,50,6.15892,-3.95076,-112.86824,-6.91816,3.3787,21.58528,-26.97267,LOU_CAJ,GEO_PAN,LouisianaLafayette,D1,SBELT,20260502-LouisianaLafayette-1,540415a0-465e-11f1-8e77-917a05731ea6,76.26219,,,6.20826,,,,,,,d5222a79-48af-40d0-a895-d142c768fdcb,2026-05-02,19:37:16.92,2026-05-02T14:37:16.9265664-05:00,2026-05-02T19:37:16.9265664Z,,v3,5075,471304,,"Brown, Colt",1000134926,Right,LOU_CAJ,1187328a-0bb3-446b-b4cc-be99e4ea2055,55.05169,-113.83024,10.79264,6.44046,-5.71605,-13.48634,1.00666,-4.10135,1.68935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-05-02,14:37:36.01,2,2,"Herrmann, Andrew",801892,Left,LOU_CAJ,"Beverley, John",831242,Right,GEO_PAN,Undefined,1,Top,1,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,85.33148,-2.804297,1.782128,2183.514558,156.508036,11:15,6.3747,-0.98046,5.52828,-15.15261,24.41927,-9.97044,2.48705,-0.14479,76.8639,-5.73703,0.005785,0.452756,57.36419,13.101071,174.163124,5178.449205,,,,64.46278,42.33931,169.548494,1.198264,5.45449,13.48855,0.83157,50,6.1204,-3.38178,-123.41732,-6.40499,8.30185,27.5885,-11.64418,LOU_CAJ,GEO_PAN,LouisianaLafayette,D1,SBELT,20260502-LouisianaLafayette-1,5f5e6d10-465e-11f1-8e77-917a05731ea6,83.25102,6.28082,,8.46757,,,,,,,d5222a79-48af-40d0-a895-d142c768fdcb,2026-05-02,19:37:36.01,2026-05-02T14:37:36.0178688-05:00,2026-05-02T19:37:36.0178688Z,GroundBall,v3,5075,471304,,"Brown, Colt",1000134926,Right,LOU_CAJ,4c87c760-05d8-4584-91c3-6350a7439cb4,54.96227,-124.52164,13.79425,6.36745,-5.9389,-5.82209,0.97359,-3.71409,4.15092,112.511159,-7.60535,-81.5193,34.72647,-5.73057,1.11624,-0.19325,0.02649,-0.0033,0.00027,1.53026,19.07061,-21.1848,4.52955,-1.14463,0.31673,-0.07593,0.01464,-0.00162,0.16742,8.33345,4.74279,-4.26725,1.39594,-0.43406,0.11439,-0.02336,0.00266,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
8,2026-05-02,14:37:59.82,2,3,"Herrmann, Andrew",801892,Left,LOU_CAJ,"Beverley, John",831242,Right,GEO_PAN,Undefined,1,Top,1,1,1,Slider,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,77.37466,-0.702157,1.517079,2092.048412,165.145693,11:30,6.43167,-1.05205,5.23106,-43.65286,3.88173,-0.65866,2.13362,0.31949,71.68763,-8.617302,1.400149,0.496222,102.21644,16.25999,-39.581925,2068.467605,82.05906,25.43204,-73.25414,285.87401,262.57251,-47.386333,2.751326,0.72886,2.48181,0.91283,50,6.334,-2.95111,-112.37865,-2.8435,0.93772,19.20841,-28.98103,LOU_CAJ,GEO_PAN,LouisianaLafayette,D1,SBELT,20260502-LouisianaLafayette-1,6d95ccc0-465e-11f1-8e77-917a05731ea6,75.95879,28.41559,,5.68702,,,,3.39487,2.50773,-0.21884,d5222a79-48af-40d0-a895-d142c768fdcb,2026-05-02,19:37:59.82,2026-05-02T14:37:59.8292992-05:00,2026-05-02T19:37:59.8292992Z,LineDrive,v3,5075,471304,,"Brown, Colt",1000134926,Right,LOU_CAJ,4ffd7823-712a-4ec0-b82f-0b481da098c0,55.27064,-113.27596,9.60421,6.43521,-1.48968,-14.49052,1.05172,-2.99491,0.46886,114.391951,3.39476,110.92906,-24.51108,5.63859,-1.20016,0.17628,-0.01234,-0.00115,0.00024,2.50776,41.97407,-18.57154,1.46332,-0.21402,0.04314,-0.00923,0.0018,-0.00017,-0.21892,-91.69754,5.2733,0.66025,-0.38807,0.09309,-0.00889,-0.00053,0.00015,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
9,2026-05-02,14:39:07.29,2,4,"Herrmann, Andrew",801892,Left,LOU_CAJ,"Beverley, John",831242,Right,GEO_PAN,Undefined,1,Top,1,1,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.34052,-2.213514,2.820057,2209.393903,145.560679,10:45,6.49999,-1.06895,5.37736,-16.66666,21.01474,-13.5156,3.03244,0.45062,79.26064,-5.38201,0.420841,0.441809,57.46793,21.534198,131.445671,3113.703371,,,,125.36738,48.28872,139.583549,1.996283,7.65603,11.60839,0.82632,50,6.29031,-5.63906,-126.48714,-5.39717,12.31985,27.41978,-13.49416,LOU_CAJ,GEO_PAN,LouisianaLafayette,D1,SBELT,20260502-LouisianaLafayette-1,95c45c20-465e-11f1-8e77-917a05731ea6,85.31381,17.11489,,8.07987,,,,1.76607,3.34522,-0.89733,d5222a79-48af-40d0-a895-d142c768fdcb,2026-05-02,19:39:07.29,2026-05-02T14:39:07.2942080-05:00,2026-05-02T19:39:07.2942080Z,LineDrive,v3,5075,471304,,"Brown, Colt",1000134926,Right,LOU_CAJ,0b81b5ed-fd22-4d68-94a8-d610bc3564f6,55.12159,-127.59257,13.70989,6.49693,-4.85316,-6.74708,1.06367,-6.13573,6.15993,,1.76608,-51.8968,0.79435,0.60418,-0.07612,-0.11844,0.10854,-0.03739,0.00489,3.34523,30.93668,-18.46223,1.32661,-0.08755,-0.12222,0.10194,-0.03452,0.00433,-0.89737,58.7729,-10.95986,1.85138,-0.84501,0.62465,-0.39484,0.13316,-0.01753,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
10,2026-05-02,14:40:01.12,2,5,"Herrmann, Andrew",801892,Left,LOU_CAJ,"Beverley, John",831242,Right,GEO_PAN,Undefined,1,Top,1,1,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.74777,-3.066722,1.407619,2421.822602,149.2469,11:00,6.52815,-1.07229,5.48479,-15.17521,21.09978,-11.81886,2.39072,-0.73997,80.76865,-5.956814,-0.697325,0.433486,73.63581,33.859304,124.759431,2784.208768,,,,,48.90163,,,6.3867,11.91292,0.95723,50,6.24917,-2.63971,-128.59252,-7.33649,10.64023,27.92292,-12.32717,LOU_CAJ,GEO_PAN,LouisianaLafayette,D1,SBELT,20260502-LouisianaLafayette-1,b5ddd400-465e-11f1-8e77-917a05731ea6,86.95196,29.61304,,7.97912,,,,1.24189,2.50693,0.55045,d5222a79-48af-40d0-a895-d142c768fdcb,2026-05-02,19:40:01.12,2026-05-02T14:40:01.1293184-05:00,2026-05-02T19:40:01.1293184Z,,v3,5075,471304,,"Brown, Colt",1000134926,Right,LOU_CAJ,5b9e5b94-92a9-4e1a-8f2b-7acd807de8b8,55.01402,-129.67671,13.96146,6.52474,-6.85785,-6.16359,1.06774,-3.05284,5.32011,,1.24189,-51.13135,-1.29503,1.3515,-0.21341,-0.81007,2.03652,-2.37555,1.11271,2.50693,60.17223,-25.45187,2.88671,-0.55581,-0.03754,0.31329,-0.38253,0.18015,0.55045,73.67952,-14.67337,2.99953,-0.45481,-0.63518,1.65469,-1.93338,0.90531,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
