PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-05-05,18:06:10.73,1,1,"Royer, Cole",815532,Right,KEN_OWL,"Beverley, John",831242,Right,GEO_PAN,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.01979,-1.760673,-3.708687,2096.212136,213.110015,1:00,5.72555,2.47662,6.90615,-16.55678,14.72918,8.92874,2.73838,-0.1618,84.64556,-4.95934,-2.079835,0.402574,82.07654,48.176494,39.85685,5558.467056,,,,,87.13175,,,-5.8537,8.67264,-2.24598,50,5.60847,8.41251,-134.99583,-4.57065,-10.74011,30.96388,-16.26189,KEN_OWL,GEO_PAN,KennesawState,D1,CUSA,20260505-KennesawState-1,a02d6b30-48ce-11f1-bce3-fd7046706a87,93.62849,88.22011,,8.37424,,,,1.58761,2.75321,0.15559,70865dd1-9e1e-4fe7-a079-9a85cd46ffa9,2026-05-05,22:06:10.73,2026-05-05T18:06:10.7392512-04:00,2026-05-05T22:06:10.7392512Z,,v3,471506,471304,,"McGee, James",10071772,Right,KEN_OWL,911d5f5f-ff7c-45e2-b7b7-fb2db306847a,53.59204,-135.81724,15.48194,5.724,-4.13926,-8.13095,-2.47293,8.69742,-5.37006,,1.58759,61.62432,-17.77218,4.8361,-0.70282,-0.73894,1.07526,-0.59413,0.12161,2.75322,89.70466,-21.75759,1.73364,-0.45903,0.62186,-0.70377,0.37833,-0.07707,0.15559,51.44461,-6.28533,1.18903,-0.19683,0.06891,-0.05545,0.02869,-0.00587,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
2,2026-05-05,18:06:40.35,1,2,"Royer, Cole",815532,Right,KEN_OWL,"Beverley, John",831242,Right,GEO_PAN,Undefined,1,Top,0,0,1,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Out,1,0,,91.73235,-1.901735,-3.134116,2182.06548,218.246267,1:15,5.8807,2.22893,7.04239,-17.09194,14.74702,10.82268,2.72563,0.28097,83.84275,-5.201868,-1.152157,0.406117,82.12158,9.467804,13.675927,3215.76722,105.11321,8.08322,32.42163,157.52288,145.17051,19.08606,1.583004,-6.70331,8.74819,-2.04228,50,5.75955,6.90841,-133.28253,-4.84398,-12.03623,29.12846,-16.4661,KEN_OWL,GEO_PAN,KennesawState,D1,CUSA,20260505-KennesawState-1,b1d0a5a0-48ce-11f1-bce3-fd7046706a87,92.81186,9.51054,,7.8896,,,,0.76845,2.64573,-0.30689,70865dd1-9e1e-4fe7-a079-9a85cd46ffa9,2026-05-05,22:06:40.35,2026-05-05T18:06:40.3501568-04:00,2026-05-05T22:06:40.3501568Z,GroundBall,v3,471506,471304,,"McGee, James",10071772,Right,KEN_OWL,c6a651a4-1be5-43a1-ac72-b5e8185bbce7,53.45678,-134.03587,14.56423,5.87932,-4.41812,-8.23305,-2.22498,7.2197,-6.01811,242.939245,0.76845,115.43584,-17.15594,2.79228,-0.56872,0.11106,-0.02099,0.00335,-0.00029,2.64573,19.81237,-15.00008,1.12617,-0.19925,0.04702,-0.00822,0.0012,-0.00011,-0.30689,28.08885,3.72768,-0.66864,0.13846,-0.02732,0.00515,-0.00082,7E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2026-05-05,18:07:13.45,2,1,"Royer, Cole",815532,Right,KEN_OWL,"Maginnis, Wills",815491,Right,GEO_PAN,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.17236,-0.62387,-2.77008,2353.37841,212.234473,1:00,5.86642,2.28003,6.80284,-13.71347,17.45525,10.37249,4.15362,0.61453,84.81936,-3.303147,-0.879069,0.401819,,,,,,,,,,,,-6.24693,9.70367,-2.10391,50,5.82025,6.13684,-135.37145,-1.78297,-11.55738,30.37603,-14.22139,KEN_OWL,GEO_PAN,KennesawState,D1,CUSA,20260505-KennesawState-1,c58ab220-48ce-11f1-bce3-fd7046706a87,93.80446,,,8.353,,,,,,,70865dd1-9e1e-4fe7-a079-9a85cd46ffa9,2026-05-05,22:07:13.45,2026-05-05T18:07:13.4566912-04:00,2026-05-05T22:07:13.4566912Z,,v3,471506,471304,,"McGee, James",10071772,Right,KEN_OWL,5dbba211-d20a-4aec-b337-de4aa0d4332b,53.69398,-136.19782,15.18802,5.86349,-1.39608,-7.1107,-2.27514,6.45125,-5.77869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-05-05,18:07:31.18,2,2,"Royer, Cole",815532,Right,KEN_OWL,"Maginnis, Wills",815491,Right,GEO_PAN,Undefined,1,Top,1,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.51674,-2.078492,-3.841015,2308.415515,212.611166,1:00,5.66954,2.62387,7.05393,-14.92477,16.46469,9.87926,2.53307,-0.04646,84.37016,-4.984005,-2.034194,0.40324,74.61819,14.806039,167.048716,3093.397298,-109.38333,9.64639,11.63075,144.49124,46.35976,176.006621,1.683237,-6.40284,9.72567,-2.39474,50,5.53862,8.65406,-134.28338,-5.21969,-11.6525,29.97486,-14.47432,KEN_OWL,GEO_PAN,KennesawState,D1,CUSA,20260505-KennesawState-1,d0219280-48ce-11f1-bce3-fd7046706a87,93.474,12.97276,,8.14658,,,,1.99609,2.54422,-0.1338,70865dd1-9e1e-4fe7-a079-9a85cd46ffa9,2026-05-05,22:07:31.18,2026-05-05T18:07:31.1883776-04:00,2026-05-05T22:07:31.1883776Z,LineDrive,v3,471506,471304,,"McGee, James",10071772,Right,KEN_OWL,35fc549d-83a9-4df5-bc43-344684005d1d,53.44467,-135.05011,14.98743,5.6674,-4.84945,-7.23716,-2.61992,8.95212,-5.82625,274.364764,1.83172,-101.77943,8.99575,,,,,,,2.81134,25.78199,-16.39227,,,,,,,0.34521,19.68669,-8.40408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
5,2026-05-05,18:07:52.65,2,3,"Royer, Cole",815532,Right,KEN_OWL,"Maginnis, Wills",815491,Right,GEO_PAN,Undefined,1,Top,1,1,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.1485,-1.584099,-4.068968,2275.783318,211.427027,1:00,5.64818,2.40942,7.09843,-16.2117,14.85111,8.43162,2.85577,-0.5864,84.54109,-4.734985,-2.526458,0.401136,,,,,,,,,,,,-5.72331,8.74044,-2.16894,50,5.54806,9.29471,-135.13057,-4.12119,-10.49725,31.66514,-16.14306,KEN_OWL,GEO_PAN,KennesawState,D1,CUSA,20260505-KennesawState-1,dcf2d280-48ce-11f1-bce3-fd7046706a87,93.96417,,,8.60741,,,,,,,70865dd1-9e1e-4fe7-a079-9a85cd46ffa9,2026-05-05,22:07:52.65,2026-05-05T18:07:52.6512640-04:00,2026-05-05T22:07:52.6512640Z,,v3,471506,471304,,"McGee, James",10071772,Right,KEN_OWL,c7e70788-d4a2-4483-b688-967881898013,53.39838,-135.92458,15.83257,5.64633,-3.7164,-8.07153,-2.40531,9.55793,-5.24863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-05-05,18:08:10.58,2,4,"Royer, Cole",815532,Right,KEN_OWL,"Maginnis, Wills",815491,Right,GEO_PAN,Undefined,1,Top,1,1,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.51229,0.794965,0.175691,2197.412703,219.12497,1:15,5.8848,2.12163,6.95379,-19.72974,12.55308,9.3265,4.96408,3.05871,82.82584,-3.013612,1.883295,0.408938,,,,,,,,,,,,-4.9017,6.76367,-2.13507,50,5.92707,-0.76077,-133.06842,1.34151,-8.68952,31.56943,-20.18374,KEN_OWL,GEO_PAN,KennesawState,D1,CUSA,20260505-KennesawState-1,e79b3f10-48ce-11f1-bce3-fd7046706a87,92.17158,,,8.68645,,,,,,,70865dd1-9e1e-4fe7-a079-9a85cd46ffa9,2026-05-05,22:08:10.58,2026-05-05T18:08:10.5861632-04:00,2026-05-05T22:08:10.5861632Z,,v3,471506,471304,,"McGee, James",10071772,Right,KEN_OWL,9a05f079-03ff-4b0e-a1cc-5bf694a783aa,53.54295,-133.90632,15.78472,5.88436,1.87722,-10.09187,-2.11794,-0.53013,-4.34476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-05-05,18:08:43.76,2,5,"Royer, Cole",815532,Right,KEN_OWL,"Maginnis, Wills",815491,Right,GEO_PAN,Undefined,1,Top,1,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.18187,-3.483733,-3.570257,2123.749464,219.764715,1:15,5.68286,2.3354,6.83392,-18.68135,11.96579,9.11339,0.93871,-0.16555,85.99511,-7.041726,-1.90843,0.398443,,,,,,,,,,,,-5.88618,7.67713,-2.10921,50,5.45182,8.16591,-136.51581,-8.8414,-11.05739,31.33377,-17.75228,KEN_OWL,GEO_PAN,KennesawState,D1,CUSA,20260505-KennesawState-1,fb5d13c0-48ce-11f1-bce3-fd7046706a87,94.59928,,,8.18676,,,,,,,70865dd1-9e1e-4fe7-a079-9a85cd46ffa9,2026-05-05,22:08:43.76,2026-05-05T18:08:43.7615616-04:00,2026-05-05T22:08:43.7615616Z,,v3,471506,471304,,"McGee, James",10071772,Right,KEN_OWL,82bd46b1-5d7e-4926-824c-0b8a6d484136,53.66447,-137.35432,15.66688,5.68207,-8.36634,-8.87614,-2.3317,8.46181,-5.52869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-05-05,18:09:03.80,2,6,"Royer, Cole",815532,Right,KEN_OWL,"Maginnis, Wills",815491,Right,GEO_PAN,Undefined,1,Top,1,2,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.42799,-4.110929,-4.100013,2265.196283,200.574201,12:45,5.76126,2.11103,6.9091,-15.47576,14.72343,5.18248,0.71166,-1.19744,86.99668,-7.066393,-3.155349,0.395521,,,,,,,,,,,,-3.82272,9.2004,-1.85468,50,5.49615,9.60648,-136.79349,-10.24846,-7.28614,28.5097,-14.63803,KEN_OWL,GEO_PAN,KennesawState,D1,CUSA,20260505-KennesawState-1,07595080-48cf-11f1-bce3-fd7046706a87,95.29826,,,7.4313,,,,,,,70865dd1-9e1e-4fe7-a079-9a85cd46ffa9,2026-05-05,22:09:03.80,2026-05-05T18:09:03.8026752-04:00,2026-05-05T22:09:03.8026752Z,,v3,471506,471304,,"McGee, James",10071772,Right,KEN_OWL,bd1eed29-d6f1-4357-bdd4-79f7e3b27dc3,53.58928,-137.53951,14.25485,5.75931,-9.86542,-7.31902,-2.10855,9.79714,-3.64307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-05-05,18:09:26.78,2,7,"Royer, Cole",815532,Right,KEN_OWL,"Maginnis, Wills",815491,Right,GEO_PAN,Undefined,1,Top,1,3,2,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,93.19011,-0.476561,-1.582755,2211.746902,208.758597,1:00,5.61312,2.25627,6.92883,-14.5865,16.75887,8.58028,3.96356,1.53003,83.86648,-3.345721,-0.012828,0.402956,,,,,,,,,,,,-5.02725,9.36441,-2.15952,50,5.57759,3.3962,-135.36492,-1.44218,-9.17717,34.00107,-15.07939,KEN_OWL,GEO_PAN,KennesawState,D1,CUSA,20260505-KennesawState-1,1502ef20-48cf-11f1-bce3-fd7046706a87,93.53974,,,9.32362,,,,,,,70865dd1-9e1e-4fe7-a079-9a85cd46ffa9,2026-05-05,22:09:26.78,2026-05-05T18:09:26.7865600-04:00,2026-05-05T22:09:26.7865600Z,,v3,471506,471304,,"McGee, James",10071772,Right,KEN_OWL,5ec33853-4d94-46dc-a9b5-db0b563cde64,53.56551,-136.25756,17.00054,5.61025,-1.0463,-7.5397,-2.25185,3.63713,-4.58859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-05-05,18:10:04.08,3,1,"Royer, Cole",815532,Right,KEN_OWL,"Bass, Wesley",834547,Right,GEO_PAN,Undefined,1,Top,1,0,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,FieldersChoice,1,0,,92.27788,-3.170443,-3.2639,2256.181436,211.622106,1:00,5.86937,2.08379,6.85127,-13.32284,18.44139,10.72044,1.8609,-0.00185,84.33615,-5.767464,-1.308625,0.40564,96.52658,-13.513289,-44.683108,,,,,9.77573,3.53771,-34.624392,0.058159,-6.65394,11.03052,-1.87894,50,5.66135,7.23794,-133.89381,-7.727,-12.06008,29.33718,-12.18155,KEN_OWL,GEO_PAN,KennesawState,D1,CUSA,20260505-KennesawState-1,2b3f12a0-48cf-11f1-bce3-fd7046706a87,92.92093,1.92655,,7.94173,,,,2.34465,1.92655,0.08254,70865dd1-9e1e-4fe7-a079-9a85cd46ffa9,2026-05-05,22:10:04.08,2026-05-05T18:10:04.0845824-04:00,2026-05-05T22:10:04.0845824Z,GroundBall,v3,471506,471304,,"McGee, James",10071772,Right,KEN_OWL,34216576-d9de-4d4b-879a-fddc8c2ad5b8,53.64818,-134.69078,14.66859,5.86677,-7.39608,-6.09077,-2.08002,7.56556,-6.03004,,2.34342,98.00268,,,,,,,,1.92696,-33.12543,,,,,,,,0.08374,-96.92456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
