PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-05-08,12:06:35.71,1,1,"DeGondea, Carter",831999,Left,GEO_EAG,"Beverley, John",831242,Right,GEO_PAN,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.90133,-1.686327,1.364471,2158.401234,134.386579,10:30,5.37799,-1.6111,5.70749,-23.20513,11.68473,-10.78174,1.87214,-1.23803,82.12335,-6.009934,-0.564948,0.425129,,,,,,,,,,,,5.84213,6.76307,1.50342,50,5.22234,-2.63128,-130.46335,-4.63164,10.04853,27.9686,-20.54149,GEO_EAG,GEO_PAN,GeorgiaSouthern,D1,SBELT,20260508-GeorgiaSouthern-1,e3b67880-4af7-11f1-a2a5-03e2572c6450,88.66111,,,7.77797,,,,,,,6a683c75-7cb6-4cd5-938a-8b610e00fc21,2026-05-08,16:06:35.71,2026-05-08T12:06:35.7100000-04:00,2026-05-08T16:06:35.7100000Z,,v3,471303,471304,cdda4bca55b2499994d56feb9bd73fcd,"White, Sean",831997,Right,GEO_EAG,0e52e430-16ea-426f-9884-e1598803e385,54.79096,-131.48642,13.9843,5.37802,-3.88025,-10.27075,1.60639,-2.99885,5.02426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-05-08,12:06:52.37,1,2,"DeGondea, Carter",831999,Left,GEO_EAG,"Beverley, John",831242,Right,GEO_PAN,Undefined,1,Top,0,1,0,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,79.55209,0.635031,2.380981,1571.471769,89.317049,9:00,5.04048,-1.64096,5.97972,-42.92176,1.23681,-16.26154,2.05285,-0.78772,72.7367,-7.298468,-0.543448,0.478276,51.19152,-80.027629,19.386521,,,,,3.88263,3.88263,13.480926,0.030912,9.1328,0.80618,1.46205,50,5.06665,-4.21268,-115.52941,-0.04907,12.28047,22.54498,-31.09003,GEO_EAG,GEO_PAN,GeorgiaSouthern,D1,SBELT,20260508-GeorgiaSouthern-1,eda38450-4af7-11f1-a2a5-03e2572c6450,78.80892,2.3005,,6.81539,,,,3.39409,2.3005,0.77086,6a683c75-7cb6-4cd5-938a-8b610e00fc21,2026-05-08,16:06:52.37,2026-05-08T12:06:52.3740000-04:00,2026-05-08T16:06:52.3740000Z,GroundBall,v3,471303,471304,cdda4bca55b2499994d56feb9bd73fcd,"White, Sean",831997,Right,GEO_EAG,c66b3263-47ca-449e-b31d-f0f65d38adcc,54.52257,-116.40862,11.27249,5.04492,1.16337,-15.54501,1.63568,-4.69159,6.14024,,3.3937,12.34341,,,,,,,,2.30286,-74.42049,,,,,,,,0.77072,4.34354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
3,2026-05-08,12:07:31.79,2,1,"DeGondea, Carter",831999,Left,GEO_EAG,"Maginnis, Wills",815491,Right,GEO_PAN,Undefined,1,Top,1,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.03719,-0.548262,1.747314,2035.473539,159.56721,11:15,5.35393,-1.3673,5.62627,-21.32249,14.25379,-4.80122,3.0652,-0.13641,80.51164,-4.585981,0.890302,0.429291,61.81104,39.120208,138.307556,3921.447974,-89.05613,33.57786,64.56781,158.63199,67.28738,145.609605,2.78926,3.03473,7.79359,1.22155,50,5.29396,-3.76231,-130.38853,-1.94441,5.10523,33.24707,-19.06319,GEO_EAG,GEO_PAN,GeorgiaSouthern,D1,SBELT,20260508-GeorgiaSouthern-1,0520da60-4af8-11f1-a2a5-03e2572c6450,87.80164,38.28039,,9.52554,,,,1.1108,3.02206,0.09372,6a683c75-7cb6-4cd5-938a-8b610e00fc21,2026-05-08,16:07:31.79,2026-05-08T12:07:31.7930000-04:00,2026-05-08T16:07:31.7930000Z,Popup,v3,471303,471304,cdda4bca55b2499994d56feb9bd73fcd,"White, Sean",831997,Right,GEO_EAG,d3278297-d9cf-470c-b3ef-c8501066719c,54.86988,-131.62442,16.62354,5.35307,-1.23578,-9.53159,1.36493,-3.95208,2.55262,317.500359,1.1108,-52.51772,0.34605,1.2625,-0.50906,0.16068,-0.04813,0.01166,-0.00125,3.02203,57.20108,-26.32765,3.10924,-0.62737,0.12575,-0.03037,0.00575,-0.00047,0.09364,46.78597,-9.52188,2.65457,-0.63306,0.13541,-0.02588,0.00179,0.00021,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
4,2026-05-08,12:07:54.59,2,2,"DeGondea, Carter",831999,Left,GEO_EAG,"Maginnis, Wills",815491,Right,GEO_PAN,Undefined,1,Top,1,0,1,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,91.807,-1.839793,2.195634,2267.604098,131.268367,10:30,5.3242,-1.42465,5.72864,-21.81155,11.40985,-11.85438,1.79123,-0.3666,84.40013,-5.895022,0.074802,0.41484,,,,,,,,,,,,6.59422,6.60256,1.24873,50,5.15716,-4.58289,-133.27676,-5.04108,11.92542,27.18049,-20.23349,GEO_EAG,GEO_PAN,GeorgiaSouthern,D1,SBELT,20260508-GeorgiaSouthern-1,12bda7c0-4af8-11f1-a2a5-03e2572c6450,90.86022,,,7.40688,,,,,,,6a683c75-7cb6-4cd5-938a-8b610e00fc21,2026-05-08,16:07:54.59,2026-05-08T12:07:54.5990000-04:00,2026-05-08T16:07:54.5990000Z,,v3,471303,471304,cdda4bca55b2499994d56feb9bd73fcd,"White, Sean",831997,Right,GEO_EAG,d9f45a70-047e-425b-bc2e-0ef876d671f2,54.77132,-134.24629,13.59024,5.32411,-4.31934,-10.11675,1.41979,-5.00827,5.96271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-05-08,12:08:13.88,2,3,"DeGondea, Carter",831999,Left,GEO_EAG,"Maginnis, Wills",815491,Right,GEO_PAN,Undefined,1,Top,1,0,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.8761,-0.438998,2.05508,1754.52474,113.160049,9:45,4.99367,-1.55454,5.72133,-35.58864,7.12748,-13.70497,1.61876,-0.78154,74.63966,-6.990546,-0.398019,0.4704,,,,,,,,,,,,7.50552,4.13752,1.39136,50,4.93494,-3.68324,-117.50364,-2.05358,10.56219,20.90189,-26.35151,GEO_EAG,GEO_PAN,GeorgiaSouthern,D1,SBELT,20260508-GeorgiaSouthern-1,1e3f3640-4af8-11f1-a2a5-03e2572c6450,80.1285,,,6.23644,,,,,,,6a683c75-7cb6-4cd5-938a-8b610e00fc21,2026-05-08,16:08:13.88,2026-05-08T12:08:13.8870000-04:00,2026-05-08T16:08:13.8870000Z,,v3,471303,471304,cdda4bca55b2499994d56feb9bd73fcd,"White, Sean",831997,Right,GEO_EAG,4f9450a0-9d0b-430b-8fe3-18a7893ece43,54.77949,-118.35078,10.45094,4.99653,-0.98558,-13.17576,1.54931,-4.11131,5.28109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-05-08,12:08:35.65,2,4,"DeGondea, Carter",831999,Left,GEO_EAG,"Maginnis, Wills",815491,Right,GEO_PAN,Undefined,1,Top,1,1,2,Fastball,Sinker,InPlay,Undefined,FlyBall,Double,0,0,,91.8261,-1.040276,2.325219,2145.419099,129.752288,10:15,5.29219,-1.33471,5.6267,-20.11718,13.22808,-14.67926,2.64414,-0.38706,84.21407,-4.79741,-0.294916,0.415612,104.22565,16.79256,0.717356,2543.284824,109.90225,33.33675,4.63507,381.50582,377.93194,9.360885,4.248547,8.12678,7.3028,1.14643,50,5.19069,-4.77094,-133.33989,-3.11632,14.68835,27.62142,-18.97496,GEO_EAG,GEO_PAN,GeorgiaSouthern,D1,SBELT,20260508-GeorgiaSouthern-1,2b297c80-4af8-11f1-a2a5-03e2572c6450,90.69134,49.36086,,7.61203,,,,1.98991,2.72624,0.38247,6a683c75-7cb6-4cd5-938a-8b610e00fc21,2026-05-08,16:08:35.65,2026-05-08T12:08:35.6500000-04:00,2026-05-08T16:08:35.6500000Z,LineDrive,v3,471303,471304,cdda4bca55b2499994d56feb9bd73fcd,"White, Sean",831997,Right,GEO_EAG,c2dfdd46-0d95-4f3b-9109-bc553229fd37,54.87498,-134.34595,13.81071,5.2916,-2.42519,-9.48748,1.32995,-5.30593,7.34418,197.320095,1.99058,146.31324,-28.50418,6.38159,-1.12333,0.14158,-0.00954,8E-05,2E-05,2.72538,44.19156,-9.08319,-1.13468,0.23611,0.01467,-0.01418,0.00263,-0.00018,0.38282,1.8216,3.9283,-0.3706,0.10304,-0.04029,0.00914,-0.00093,3E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
7,2026-05-08,12:09:20.18,3,1,"DeGondea, Carter",831999,Left,GEO_EAG,"Bass, Wesley",834547,Right,GEO_PAN,Undefined,1,Top,1,0,0,Fastball,Four-Seam,InPlay,Undefined,Popup,Out,1,0,,91.19328,-1.764419,2.679553,2124.954551,153.342403,11:00,5.25302,-1.33837,5.6221,-18.68721,15.79221,-7.29811,2.04686,0.55586,82.20556,-5.302399,1.378022,0.422621,49.95029,57.873261,11.82208,3681.75169,,,,100.87484,98.81455,22.56452,3.789529,4.56536,8.93182,1.11457,50,5.09072,-5.85261,-132.04929,-4.67474,7.9427,31.9678,-16.63471,GEO_EAG,GEO_PAN,GeorgiaSouthern,D1,SBELT,20260508-GeorgiaSouthern-1,45b942b0-4af8-11f1-a2a5-03e2572c6450,89.18726,56.59781,,8.98773,,,,1.95961,2.15479,-0.52816,6a683c75-7cb6-4cd5-938a-8b610e00fc21,2026-05-08,16:09:20.18,2026-05-08T12:09:20.1830000-04:00,2026-05-08T16:09:20.1830000Z,Popup,v3,471303,471304,cdda4bca55b2499994d56feb9bd73fcd,"White, Sean",831997,Right,GEO_EAG,0dddc279-0c63-4648-b722-6a6a7b5dc235,54.87571,-133.22442,15.9839,5.25133,-4.06325,-8.31736,1.33508,-6.14458,3.97135,197.607405,1.96001,38.12432,-8.24609,2.12837,-0.4446,0.1283,-0.04264,0.00847,-0.00066,2.15554,62.01634,-19.40829,1.0162,0.24843,-0.28753,0.10348,-0.01731,0.00112,-0.52819,7.98184,1.43261,-0.41871,0.11799,-0.03999,0.01174,-0.00203,0.00014,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
8,2026-05-08,12:09:59.02,4,1,"DeGondea, Carter",831999,Left,GEO_EAG,"Griffith, Cole",807519,Right,GEO_PAN,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.64068,-2.650966,3.212243,2113.532274,139.168184,10:45,5.35287,-1.59164,5.69125,-20.86792,14.54182,-11.50985,1.13752,0.44616,81.46728,-6.563431,1.157195,0.428285,,,,,,,,,,,,6.82063,8.54445,1.32872,50,5.11668,-6.78388,-129.78593,-6.69927,11.54911,29.00885,-17.70605,GEO_EAG,GEO_PAN,GeorgiaSouthern,D1,SBELT,20260508-GeorgiaSouthern-1,5ce2fa80-4af8-11f1-a2a5-03e2572c6450,88.00789,,,8.1734,,,,,,,6a683c75-7cb6-4cd5-938a-8b610e00fc21,2026-05-08,16:09:59.02,2026-05-08T12:09:59.0240000-04:00,2026-05-08T16:09:59.0240000Z,,v3,471303,471304,cdda4bca55b2499994d56feb9bd73fcd,"White, Sean",831997,Right,GEO_EAG,7b283004-b424-4a64-8801-f85372d67fbe,54.80779,-130.85612,14.50443,5.35178,-6.04606,-8.85302,1.58685,-7.20995,5.77456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-05-08,12:10:22.31,4,2,"DeGondea, Carter",831999,Left,GEO_EAG,"Griffith, Cole",807519,Right,GEO_PAN,Undefined,1,Top,2,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,1,0,,89.37739,-1.949496,3.149934,2216.620845,147.481749,11:00,5.13205,-1.61958,5.85234,-19.48828,15.80643,-9.31855,1.69314,0.53371,81.30987,-5.630025,1.481716,0.427589,,,,,,,,,,,,5.68611,9.00402,1.36888,50,4.96206,-6.7305,-129.52433,-5.01689,9.60926,28.36968,-16.95771,GEO_EAG,GEO_PAN,GeorgiaSouthern,D1,SBELT,20260508-GeorgiaSouthern-1,6aca6570-4af8-11f1-a2a5-03e2572c6450,88.15116,,,8.06752,,,,,,,6a683c75-7cb6-4cd5-938a-8b610e00fc21,2026-05-08,16:10:22.31,2026-05-08T12:10:22.3130000-04:00,2026-05-08T16:10:22.3130000Z,,v3,471303,471304,cdda4bca55b2499994d56feb9bd73fcd,"White, Sean",831997,Right,GEO_EAG,21059492-ea1b-41ea-a713-217a3d505541,54.64642,-130.53807,14.18484,5.1305,-4.41094,-8.47886,1.61551,-7.07387,4.80463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.34836,1.610573,0.687258,0.923315,0.61145,1.61327,-0.55437,-1.62919,5.99041,-2.60875,63.84193,5.22746,-60.95108,-1.58758,77.1273,-6.82394,6.00115,10.06577,-11.82117,-2.7143,-74.21893,12.17018,High,High,High,,,High,Medium,High
10,2026-05-08,12:13:30.93,1,1,"Bartkoski, Will",831289,Right,GEO_PAN,"Edwards, Bennett",838125,Left,GEO_EAG,Undefined,1,Bottom,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.98782,3.56204,-4.246625,2176.947625,292.844781,3:45,3.21403,3.03354,5.63147,-44.82577,-5.42965,15.89741,2.81555,0.38876,77.22723,-4.638859,-1.420771,0.45175,,,,,,,,,,,,-9.22205,-3.35807,-2.68186,50,3.4896,8.45698,-122.92745,6.04432,-14.08935,24.72094,-37.30448,GEO_EAG,GEO_PAN,GeorgiaSouthern,D1,SBELT,20260508-GeorgiaSouthern-1,db3a1e40-4af8-11f1-a2a5-03e2572c6450,83.43652,,,7.76059,,,,,,,6a683c75-7cb6-4cd5-938a-8b610e00fc21,2026-05-08,16:13:30.93,2026-05-08T12:13:30.9360000-04:00,2026-05-08T16:13:30.9360000Z,,v3,471303,471304,cdda4bca55b2499994d56feb9bd73fcd,"Griffith, Cole",807519,Right,GEO_PAN,e2952fb8-1f3b-4fd0-ae04-28abf2358652,54.87055,-123.90306,12.36047,3.22201,7.51653,-18.65224,-3.02658,9.01302,-7.04467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
